Node Latitude Longitude
0 25.60435 85.09351
1 25.60436 85.09342
2 25.60436 85.09323
3 25.60436 85.09306
4 25.60439 85.09267
5 25.6044 85.09244
6 25.60442 85.09214
7 25.60444 85.09173
8 25.60447 85.09128
9 25.60451 85.0906
10 25.60454 85.08975
11 25.60454 85.08929
12 25.60454 85.08868
13 25.60453 85.08844
14 25.60453 85.08815
15 25.60454 85.08773
16 25.60457 85.0874
17 25.6047 85.08608
18 25.60476 85.08554
19 25.60488 85.08455
20 25.60495 85.08394
21 25.60505 85.08304
22 25.60515 85.08215
23 25.60524 85.08115
24 25.6053 85.08069
25 25.60532 85.08044
26 25.60535 85.08022
27 25.60541 85.07963
28 25.6055 85.07878
29 25.60559 85.07802
30 25.6058 85.0761
31 25.60586 85.07547
32 25.60595 85.07461
33 25.60598 85.07433
34 25.60601 85.07405
35 25.60604 85.0738
36 25.60609 85.07336
37 25.60616 85.07274
38 25.60631 85.0714
39 25.60639 85.07076
40 25.60642 85.07054
41 25.6065 85.07015
42 25.60659 85.06986
43 25.60663 85.06968
44 25.60669 85.06947
45 25.60672 85.06933
46 25.60675 85.06921
47 25.60679 85.06911
48 25.60684 85.06897
49 25.60692 85.06875
50 25.60729 85.06773
51 25.60748 85.06723
52 25.60756 85.06703
53 25.60812 85.06553
54 25.6082 85.06531
55 25.60828 85.06506
56 25.60837 85.06462
57 25.6085 85.06414
58 25.60855 85.06396
59 25.60861 85.06378
60 25.60867 85.06361
61 25.60888 85.06306
62 25.60894 85.06289
63 25.60903 85.06261
64 25.60906 85.06253
65 25.60916 85.06233
66 25.6094 85.06169
67 25.60964 85.06112
68 25.60989 85.06063
69 25.61009 85.06025
70 25.61023 85.05986
71 25.61043 85.05936
72 25.61073 85.05854
73 25.61077 85.05843
74 25.60755 85.0673
75 25.60739 85.06773
76 25.60694 85.06898
77 25.60688 85.06915
78 25.60682 85.06929
79 25.60678 85.06943
80 25.6067 85.06969
81 25.60658 85.07017
82 25.60652 85.07042
83 25.60643 85.07098
84 25.60633 85.07199
85 25.60628 85.07248
86 25.60625 85.07276
87 25.60617 85.07339
88 25.60614 85.0738
89 25.60611 85.07405
90 25.60608 85.07436
91 25.60605 85.07461
92 25.60596 85.07548
93 25.60589 85.07614
94 25.60568 85.07802
95 25.6056 85.0788
96 25.60551 85.07961
97 25.60543 85.08037
98 25.60542 85.08045
99 25.60539 85.0807
100 25.60534 85.08116
101 25.60521 85.08216
102 25.60512 85.08305
103 25.60506 85.08353
104 25.60502 85.08395
105 25.60495 85.08456
106 25.60484 85.08555
107 25.60479 85.08611
108 25.60469 85.08712
109 25.60466 85.08741
110 25.60463 85.08815
111 25.60461 85.08867
112 25.60461 85.08903
113 25.60461 85.08929
114 25.60461 85.08975
115 25.60461 85.0898
116 25.60458 85.09065
117 25.60455 85.09129
118 25.60451 85.09175
119 25.6045 85.09212
120 25.60444 85.09306
121 25.60445 85.09323
122 25.60444 85.09345
123 25.60444 85.09353
124 25.6219 85.08279
125 25.6218 85.08283
126 25.62156 85.08281
127 25.62052 85.08274
128 25.6199 85.08267
129 25.6194 85.08262
130 25.61916 85.0826
131 25.61909 85.08258
132 25.61894 85.08257
133 25.61867 85.08256
134 25.61851 85.08255
135 25.6182 85.08252
136 25.61809 85.08251
137 25.61784 85.08248
138 25.61751 85.08247
139 25.61678 85.0824
140 25.61657 85.08239
141 25.61645 85.08238
142 25.61634 85.08237
143 25.61622 85.08236
144 25.61569 85.08232
145 25.61547 85.0823
146 25.61532 85.08228
147 25.61508 85.08224
148 25.61486 85.08221
149 25.61464 85.08219
150 25.61452 85.08218
151 25.61445 85.08217
152 25.61399 85.08211
153 25.61386 85.08209
154 25.61302 85.08197
155 25.61277 85.08196
156 25.61254 85.0819
157 25.61231 85.08185
158 25.61179 85.08176
159 25.61104 85.08156
160 25.61056 85.08147
161 25.60999 85.0814
162 25.60936 85.08131
163 25.60905 85.08128
164 25.60875 85.08126
165 25.60855 85.08124
166 25.60837 85.08122
167 25.60809 85.08117
168 25.60784 85.08112
169 25.60762 85.08107
170 25.60752 85.08104
171 25.6073 85.08097
172 25.60717 85.08094
173 25.60705 85.0809
174 25.6067 85.0808
175 25.60658 85.08078
176 25.60644 85.08074
177 25.60615 85.08067
178 25.60589 85.08059
179 25.60575 85.08054
180 25.60551 85.08049
181 25.60552 85.0804
182 25.60575 85.08045
183 25.6059 85.08048
184 25.60617 85.08056
185 25.60646 85.08063
186 25.60661 85.08067
187 25.60673 85.08071
188 25.60718 85.08085
189 25.60731 85.08089
190 25.60753 85.08096
191 25.60764 85.08099
192 25.60786 85.08103
193 25.60811 85.08108
194 25.60839 85.08111
195 25.60856 85.08114
196 25.60875 85.08115
197 25.60905 85.08117
198 25.60964 85.08125
199 25.61001 85.08131
200 25.61039 85.08134
201 25.61058 85.08137
202 25.61068 85.08139
203 25.61107 85.08147
204 25.6118 85.08166
205 25.61212 85.08172
206 25.61256 85.0818
207 25.61279 85.08185
208 25.61303 85.08187
209 25.61387 85.08199
210 25.61398 85.082
211 25.61445 85.08206
212 25.61453 85.08207
213 25.61464 85.08208
214 25.61487 85.08211
215 25.6151 85.08213
216 25.61532 85.08216
