From To Length(meter) Traffic_level Name
3120 3121 32.02109682465217 1.0344827586206897 "Railway Hospital Road/Station Marg"
887 888 8.106761736742296 1.2738853503184715 "Birla Mandir Road"
5480 7052 25.603334354909325 1.0598031794095382 "Ashok Nagar Road/Ashok Nagar No. 9 Road/J Sector Road"
6258 6259 11.237135598404873 1.105379513633014 "NH-30/Mandir Road/Bypass Road/Pun Pun Road"
3252 3253 13.508228293581752 1.0 "Ashok Raj Path/Gola Road/Danapur Main Road"
2618 2619 52.653129457382306 1.25 "Surbhi Hotel Gali"
6297 6298 65.21528865923675 1.107011070110701 "SH-78 (North)"
6549 6550 45.28617584767392 0.9310344827586206 "Sankar Colony More/Ashiana Digha Road"
4831 4832 14.182871396459081 1.054162122864413 "Beerchandra Patel Path"
1517 1518 29.374776855545193 1.288659793814433 "Patliputra Colony/Indrapuri Main Road"
215 216 4.5912106837238795 1.0256410256410258 "Income Tax Chauraha"
811 812 26.939094175402627 1.3125 "Ramna Road"
850 851 69.21182536129204 1.08991825613079 "Ramna Road"
1352 1353 19.36140544626914 1.2738853503184715 "Birla Mandir Road"
1823 1824 54.77391274184403 1.9782393669634029 "Dak Bungalow Chauraha"
6832 6833 15.680091315263953 1.1771808028976758 "Bailey Road/Jagdev Path"
3639 3640 26.69306882909871 1.2782694198623403 "Anisabad"
4713 4714 20.56418209147375 2.0529801324503314 "Punaichak Main Road"
1192 1193 68.28082586333306 1.1176470588235294 "NH-30/Bailey Road/Manpura Main Road"
3936 3937 38.15285771718135 0.8947368421052632 "Nala Road"
1902 1903 4.496942228162299 4.3589743589743595 "Krishna Chauraha"
7062 7063 9.306359165438623 1.0535557506584723 "NH-30/NH-98/Bypass Road"
1186 1187 17.63260553494574 1.3125 "Shradhanand Path/Dalvar Road"
4317 4318 309.14007879192513 0.7069635913750443 "Bailey Road/Paschimi Bailey Canal Road"
1003 1004 22.193608313732636 1.8799710773680405 "Boring Canal Road"
955 956 17.634890563366596 1.4511873350923483 "Fraser Road"
917 918 48.97289043220988 1.1448196908986836 "Fraser Road"
4921 4922 71.84021192209359 1.8419033000767462 "Ashok Raj Path/Danapur Road"
410 411 26.215318239150132 1.286764705882353 "Naya Tola Road/R. P. S. College Road"
708 4342 53.19967123319023 1.5 "A. G. Colony Road/Punaichak Chauraha"
3467 3468 35.5588316018862 1.0699273977837218 "Maner"
1092 1713 4.590390033689429 1.0 "Ashok Raj Path/Digha Ghat Road/Danapur Road"
4603 4604 23.463012246300885 0.6799417192812045 "Sahdev Mahato Marg"
5393 5394 11.689760119542655 1.021276595744681 "Bander Bagicha Chauraha"
3031 3032 21.96725715946241 1.3388734995383196 "Anisabad"
854 855 24.72470742952725 1.08991825613079 "Ramna Road"
5459 5460 41.29902113341486 1.1572498298162015 "Ashok Nagar No. 3 Main Road"
4766 4767 22.438184452048162 1.0530421216848673 "Bailey Road/Boring Canal Road"
1021 1022 32.67021211628159 1.462140992167102 "Gosai Tola More/Patliputra Road"
1174 1175 57.35523992310051 1.0526315789473684 "Sadar Bazar Road/Arya Samaj Road/Awasthi Ghat Road"
5062 5063 28.96518078242152 1.0394110004330879 "Ashok Raj Path/Danapur Road"
2330 5496 4.016066922458253 1.1572498298162015 "Ashok Nagar No. 3 Main Road"
6361 6362 9.769991590101643 1.105379513633014 "NH-30/Mandir Road/Bypass Road/Pun Pun Road"
3559 3560 32.42258904327777 0.988205291679949 "Bailey Road"
3148 3149 6.974472187028809 1.0344827586206897 "Railway Hospital Road/Station Marg"
5919 5920 43.41434955830911 1.199294532627866 "Shahid Peer Ali Khan Marg"
1202 1203 22.469966571690343 1.1176470588235294 "NH-30/Bailey Road/Manpura Main Road"
6196 6197 11.131884501903583 0.9583333333333334 "B. M. P. Road"
3424 3425 42.85905168928271 1.0699273977837218 "Maner"
7354 7355 65.8606958060292 1.2105263157894737 "Anand Path"
7381 7382 41.49276406905159 1.0578279266572637 "Sanjay Gandhi Nagar Road"
0 471 16.098952648225122 1.309090909090909 "Saidpur More/Bhikhna Pahari More"
48 3927 16.093618996984144 1.4236410698878343 "Vaishali Golambar Chowk"
4481 4482 16.727968558112877 1.3036809815950923 "Bailey Road"
4545 4546 6.863080488854131 0.6799417192812045 "Sahdev Mahato Marg"
2259 2260 40.21691284985248 3.253012048192771 "Rajendra Nagar Over Bridge/Kankar Bagh Road"
6088 6089 7.371800808920728 1.1447650846649178 "R Block"
3580 3581 64.75969872292329 1.7610062893081762 "Danapur"
6916 6917 100.7937320792295 1.3636363636363638 "Sardar Patel Marg"
6678 6679 15.68108352594579 1.1 "Shivpuri Chowk/Shivpuri Road"
4176 4177 37.29808336301803 0.9505703422053231 "No. 3 Path"
6583 6584 41.37726951979142 0.8395061728395062 "Digha Ghat"
477 478 5.0188805929611195 1.1198945981554678 "Arya Kumar Road"
3369 3370 7.488775310757183 1.0699273977837218 "Maner"
1618 1619 8.993518840095623 2.0080321285140563 "Patliputra Colony/Indrapuri Main Road"
5583 5584 45.64072645868983 0.6666666666666666 "New Pani Tanki Road/Postal Park Nala Road"
4401 4402 41.96315572265428 1.081081081081081 "Ashok Raj Path/Danapur Road/Digha Ghat Road"
2103 2104 8.108103302891813 1.7955801104972375 "Munna Chowk"
2449 2450 55.37481002434253 1.0122535961640917 "No. 15 Road"
3417 3418 30.43220485105401 0.8064516129032259 "Cantt Road"
1976 1977 37.21101517123652 1.074938574938575 "Bhoothnath Road"
2622 2623 48.555933814374065 1.25 "Surbhi Hotel Gali"
4486 4487 27.99215268733594 1.3036809815950923 "Bailey Road"
3727 3728 24.040100238394487 1.0902483343428224 "Saristabad Road/70 Feet Road"
5908 5909 73.8199352126654 1.0971786833855801 "Bailey Road"
7310 7311 77.36884809175345 0.8998875140607423 "Bahadurpur Golamber Chowk/Bazar Samiti Chowk"
481 482 16.997561683004516 1.0625 "Rajendra Path/Kadam Kuan Road"
7320 7321 53.25593924508133 1.3262599469496021 "Chitragupt Nagar Road"
6249 6250 69.46234373271697 1.105379513633014 "NH-30/Mandir Road/Bypass Road/Pun Pun Road"
755 756 10.579101145696232 1.1757425742574257 "Income Tax Chauraha"
2153 2154 18.10453607986959 1.7591339648173208 "Tempo Stand Road/Lohia Nagar Main Road"
7168 7169 31.74585981714132 1.0 "Kadam Kuan Road/Rajendra Path"
2127 2128 4.015645596452512 1.4228799089356858 "Karpoori Chowk"
1239 1240 19.244970938413452 1.0119940029985008 "Boring Road/Kurji Main Road"
5339 5340 10.793539795248725 1.0265183917878529 "Ashok Chowk"
5473 5474 32.24206006393582 1.1572498298162015 "Ashok Nagar No. 3 Main Road"
1158 1159 56.73658076260516 1.0526315789473684 "Sadar Bazar Road/Arya Samaj Road/Awasthi Ghat Road"
3431 3432 10.095986716995528 0.8064516129032259 "Cantt Road"
1493 1494 40.38778099480907 1.288659793814433 "Patliputra Colony/Indrapuri Main Road"
6977 6978 28.474120266425707 0.9620253164556962 "New Purandar Pur Main Road"
5307 5308 28.474216360715726 1.1337868480725624 "Kankar Bagh Main Road/Old Bypass Road"
1745 4032 9.10302754688867 1.4351320321469574 "Exhibition Road"
4427 4428 6.6791307011421495 1.081081081081081 "Ashok Raj Path/Danapur Road/Digha Ghat Road"
6519 6520 16.213179290490263 0.9310344827586206 "Sankar Colony More/Ashiana Digha Road"
5451 5452 67.06239095014432 2.030008826125331 "Tempo Stand Chauraha"
1332 1333 16.665814148383557 1.3504388926401079 "Kargil Chowk"
2405 2406 60.71912428329795 1.223021582733813 "Mithapur Chauraha"
2845 2846 35.141161168689344 1.3856812933025404 "Vijay Nagar No. 1 Road"
6322 6323 16.09408147057035 1.105379513633014 "NH-30/Mandir Road/Bypass Road/Pun Pun Road"
7337 7338 27.75071113214823 0.8753647353063777 "Patna"
217 218 5.14106499607751 1.25 "Income Tax Chauraha"
1126 1127 43.969113223498525 1.814646791963707 "Bans Ghat"
7429 7430 63.23909177577432 1.1371237458193981 "Station Marg/Khagaul Road"
1210 1211 8.317497016765701 1.0 "Ashok Raj Path/Gola Road/Danapur Main Road"
7498 7499 15.061087859129001 1.173627890921643 "Phulwari"
4392 4393 20.43552218763399 1.03125 "Digha Ashiana Link Road/Keshri Nagar Main Road"
4421 4422 21.174378066451737 1.03125 "Digha Ashiana Link Road/Keshri Nagar Main Road"
378 379 21.96340399077907 1.9430637144148215 "Naharpur Road/Paschimi Bailey Canal Road"
4104 4105 13.164366947905867 1.021276595744681 "Bander Bagicha Chauraha"
5976 5977 39.40695312750763 1.1221545367104842 "Station Road/Jagdeo Path"
4086 4087 26.194343461519892 0.9596928982725528 "Budh Murti Chowk"
5121 5122 6.421263125839437 1.0833333333333333 "Munshi Prem Chand Chauraha"
2439 2440 185.7953190563929 1.040118870728083 "Harding Road"
6027 6028 158.0027929902386 1.1635027556644213 "Mal Road"
5089 5090 5.995877649208373 1.026694045174538 "Bahadurpur Golambar Chowk"
42 43 4.8844559868330375 1.0348583877995643 "Ramavatarshastri Chowk"
5425 5426 32.53129345003853 1.4166666666666665 "Ashok Nagar No. 9 Road/J Sector Road"
7270 7271 35.152735205506325 1.222222222222222 "Dhanush Setu Road/Kankar Bagh Main Road/Old Bypass Road"
772 773 12.365199000914645 1.5714285714285714 "Sher Shah Path West"
5130 5131 20.199282325012746 0.9694619486185169 "Rajendra Path/Kadam Kuan Road"
1263 1264 68.62728359063236 0.9026798307475317 "Gosai Tola More/Patliputra Road"
3351 3352 15.66537211562239 1.0699273977837218 "Maner"
4276 4277 78.06293395393527 1.6358157554885921 "NH-30/Khagaul Road"
5137 5138 9.182382588126579 0.9694619486185169 "Rajendra Path/Kadam Kuan Road"
3937 3981 8.200850157826316 1.3157894736842106 "Bari Path"
5119 5120 6.3284035126654015 1.0 "Munshi Prem Chand Chauraha"
1367 1368 71.70984855327441 0.8818342151675486 "Daroga Prasad Rai Path"
6640 6641 7.792319151509536 0.782608695652174 "Jivan Nagar Main Road"
1586 1587 41.78069353674116 1.1385199240986716 "Bailey Road"
4864 4865 24.421935774118758 1.4985590778097981 "Boring Chauraha"
447 5183 33.53114905218592 0.6842105263157895 "Saidpur More/Bari Path"
6634 6635 33.77055406074476 0.782608695652174 "Jivan Nagar Main Road"
256 257 107.20822924297494 1.2721238938053099 "Boring Canal Road/Daroga Prasad Roy Path"
3591 3592 29.01244488574771 1.7610062893081762 "Danapur"
5076 5077 6.88685282262987 1.0 "Munshi Prem Chand Chauraha"
4662 4663 25.779805693884548 1.4718614718614718 "Digha Ashiana Link Road/Keshri Nagar Main Road"
6364 6365 77.57076214434056 1.105379513633014 "NH-30/Mandir Road/Bypass Road/Pun Pun Road"
3919 3920 24.510712265249968 1.4236410698878343 "Vaishali Golambar Chowk"
7369 7370 60.02361087876676 2.0 "Kankar Bagh Main Road/Old Bypass Road"
2486 2487 12.367493134874737 2.0366598778004072 "NH-30/Bypass Road/Pun Pun Road"
1084 1085 17.925700482313648 1.2981574539363485 "Boring Road/Kurji Main Road"
5586 5587 33.39565350641886 0.6470588235294118 "Karbigahiya Station Road"
2836 2837 107.43153190312468 1.7535971223021585 "Ashok Chowk"
5292 5293 8.046865404813191 0.9218825812712275 "Tempo Stand Chauraha"
3797 3798 25.19961101673311 1.2424338961452692 "Ashok Nagar Path"
6242 6243 33.80782435921863 1.105379513633014 "NH-30/Mandir Road/Bypass Road/Pun Pun Road"
2207 2208 4.497129443005835 1.7732401934443847 "P. C. Colony Main Road"
0 1 15.584638303373127 1.0881392818280742 "Bari Path"
3507 3508 9.032399175081277 0.8064516129032259 "Cantt Road"
1182 1183 20.656864326530876 1.1176470588235294 "NH-30/Bailey Road/Manpura Main Road"
3360 3361 16.486417119148797 1.0699273977837218 "Maner"
449 450 15.220484935665874 1.0588235294117647 "Saidpur More/Bhikhna Pahari More"
213 214 8.353987726923728 1.25 "Income Tax Chauraha"
4503 4504 94.28048452259307 1.3036809815950923 "Bailey Road"
34 35 3.7451570867089643 1.335113484646195 "Ramavatarshastri Chowk"
7030 7031 13.775594979179013 1.0769230769230769 "No. 8A Road"
7492 7493 21.114898809754283 1.173627890921643 "Phulwari"
5714 5715 12.842861794221289 1.3835511145272867 "Ramavatarshastri Chowk"
1884 1885 4.166922787079786 2.2265246853823815 "Krishna Chauraha"
6214 6215 25.77376307680803 0.9583333333333334 "B. M. P. Road"
6561 6562 50.235649206063705 0.9310344827586206 "Sankar Colony More/Ashiana Digha Road"
4383 4384 43.394925487123395 0.9845288326300986 "Bailey Road"
2474 2475 5.375809220721196 1.1651037226484797 "Jag Jeevan Road"
4789 4790 14.643659230902719 1.0530421216848673 "Bailey Road/Boring Canal Road"
1289 1290 25.117443740537713 1.422319474835886 "Thana Road"
4849 4850 32.17385622297488 1.4985590778097981 "Boring Chauraha"
4956 4957 24.421731024062556 1.8419033000767462 "Ashok Raj Path/Danapur Road"
7263 7264 19.202835277726983 1.222222222222222 "Dhanush Setu Road/Kankar Bagh Main Road/Old Bypass Road"
5760 5761 5.375524780016172 1.2071156289707752 "Budh Murti Chowk"
465 466 22.111100394721632 1.309090909090909 "Saidpur More/Bhikhna Pahari More"
911 912 5.490432578666495 1.509433962264151 "Kargil Chowk"
6407 6408 80.90804782583638 1.107011070110701 "SH-78 (North)"
6786 6787 22.988034667051444 0.9487179487179488 "Desh Ratna Marg"
6119 6120 18.52869869254266 0.9122365523749606 "Bailey Road"
1996 1997 24.196187274318056 1.0823347506764591 "Kankar Bagh Road/Kanti Factory Road"
501 502 49.798835699736294 1.1082138200782268 "Ashok Raj Path/Gandhi Maidan Road"
1337 1338 25.31895623792731 1.3504388926401079 "Kargil Chowk"
2088 2089 24.50210637236806 1.0 "Old Bypass Road/Kankar Bagh Main Road"
4466 4467 10.492138769783422 1.081081081081081 "Ashok Raj Path/Danapur Road/Digha Ghat Road"
5913 5914 43.0108891148528 1.0971786833855801 "Bailey Road"
5428 5429 61.5209943285303 1.4166666666666665 "Ashok Nagar No. 9 Road/J Sector Road"
2547 2548 15.680745475392218 1.0122535961640917 "No. 15 Road"
72 73 4.884426233563577 1.4573213046495488 "Dinkar Golambar Chauraha"
2653 2654 56.74950815747585 2.056555269922879 "Surbhi Hotel Gali"
5747 5748 5.565942250774763 1.1688311688311688 "East Lohapur Chowk"
1107 1108 7.1125867100580535 1.814646791963707 "Bans Ghat"
346 347 61.729763606028705 1.363884342607747 "Ashiana Road/B. M. P. Road"
5629 5630 17.21295482949595 1.647058823529412 "Postal Park No. 1 Road/Indira Nagar Main Road"
4736 4737 8.765934361521065 1.0067114093959733 "Boring Road"
4446 4447 51.99728463464389 1.03125 "Digha Ashiana Link Road/Keshri Nagar Main Road"
5634 5635 19.34559417475872 1.7058823529411766 "Postal Park Chauraha"
5709 5710 14.097970561070099 1.3835511145272867 "Ramavatarshastri Chowk"
1351 1352 17.208353708547907 1.2738853503184715 "Birla Mandir Road"
7025 7026 15.873029540410394 1.1637572734829593 "No. 8A Road"
2033 2034 9.10329754529397 1.461133839859731 "Rajendra Nagar Over Bridge/Kankar Bagh Road"
2630 2631 38.724865549856496 2.0629750271444083 "Sandalpur Main Road"
4177 4178 125.33026730898159 0.9140767824497257 "A. G. Colony Road/Punaichak Chauraha/Bailey Road"
6996 6997 63.29759931201737 1.0526315789473684 "Khagaul Road"
7418 7419 4.884559232483528 0.8095238095238095 "Bhootnath Road"
1839 1840 13.09685136515426 1.9782393669634029 "Dak Bungalow Chauraha"
1895 1896 5.4909730391700515 6.666666666666667 "Krishna Chauraha"
6937 6938 10.793571148321499 1.261715933669791 "Khagaul Road"
1261 1262 39.64820530512596 0.9026798307475317 "Gosai Tola More/Patliputra Road"
72 5150 30.786494499242615 1.4573213046495488 "Dinkar Golambar Chauraha"
4374 4375 10.579522659855472 1.0 "Punaichak Main Road"
6748 6749 65.94958087163332 0.8877284595300261 "No. 17 Road"
6067 6068 26.88576236956432 1.2632978723404256 "Jag Jeevan Road"
4822 4823 46.64671131529982 1.054162122864413 "Beerchandra Patel Path"
3719 3720 11.100945728185867 1.08991825613079 "Berur Jail Road/Shivpuri Beur Road"
1833 1834 9.268809142724889 1.1344299489506524 "Shaheed Chowk/Fraser Road"
1102 1103 43.07916976580559 1.0119940029985008 "Boring Road/Kurji Main Road"
1617 4675 17.611936619381968 0.9124087591240875 "Boring Road"
2849 2850 58.32962521467653 1.3856812933025404 "Vijay Nagar No. 1 Road"
3362 3363 114.07045636123763 0.8064516129032259 "Cantt Road"
874 875 21.19587273861488 1.08991825613079 "Ramna Road"
7395 7396 26.791881303103224 1.1645379413974455 "Bypass Road/NH-98/NH-30"
956 957 16.098278192887534 2.6155187445510024 "Budh Marg"
3027 3028 15.118586246777914 1.3388734995383196 "Anisabad"
728 729 10.072189368537689 0.9006980409817609 "Boring Road"
1776 1777 25.91630896351943 1.9035532994923858 "Rajendra Path/Station Road"
2025 2026 83.39577467361963 1.461133839859731 "Rajendra Nagar Over Bridge/Kankar Bagh Road"
1077 1078 41.763556296381765 1.2981574539363485 "Boring Road/Kurji Main Road"
5431 7024 31.42692952555357 1.0 "Ashok Nagar No. 9 Road/J Sector Road"
7247 7248 76.9738297383926 0.688791484032561 "No. 10 Road"
7274 7275 21.991585919525388 0.8947368421052632 "Geeta College Road"
1411 1412 33.790820560712326 0.5717552887364209 "Income Tax Chauraha"
17 18 5.222556861247676 1.2855209742895806 "Diwakar Chowk/Dinkar Golambar Chauraha"
1106 1107 18.361243703809922 1.0119940029985008 "Boring Road/Kurji Main Road"
5114 5115 5.141221175115457 0.8998875140607423 "Bahadurpur Golamber Chowk/Bazar Samiti Chowk"
2362 2363 34.74171680519024 1.3614404918752745 "Karpoori Chowk"
6611 6612 74.02350106095795 0.9047619047619047 "Danapur Road/Ashok Raj Path/Digha Main Road"
149 150 4.8843696846276785 0.6932409012131715 "Danapur Road"
1436 1437 6.7088110482925 1.1160714285714286 "Politechnic More/Patliputra Colony Road"
2623 2624 19.677170551721737 1.25 "Surbhi Hotel Gali"
3322 3323 37.99013486480065 0.8064516129032259 "Cantt Road"
1206 1207 8.046683133700098 1.0526315789473684 "Ashok Raj Path/Gola Road/Danapur Main Road"
5021 5022 11.343624095026348 0.9090909090909091 "Bari Path"
